name ,country,year,banned substance,sport,season ,city,medal
Irina Yatchenko,Belarus,2004,Methandienone,Athletics,summer,Athens,bronze
Elvan Abeylegesse,Turkey,2008,Capsaicin,Athletics,summer,Beijing,silver
Christian Ahlmann,Germany,2008,Capsaicin,Equestrian jumping,summer,Beijing,no medal
Bernardo Alves,Brazil,2008,Capsaicin,Equestrian jumping,summer,Beijing,no medal
Lyudmila Blonska,Ukraine,2008,Methyltestosterone,Athletics Heptathlon,summer,Beijing,silver
Tony André Hansen,Norway,2008,Capsaicin,Equestrian jumping,summer,Beijing,bronze
Alissa Kallinikou,Cyprus,2008,Testosterone,Athletics ,summer,Beijing,no medal
Kim Jong-su,North Korea,2008,Propranolol,Shooting ,summer,Beijing,silver
Courtney King,United States,2008,Felbinac,Equestrian  dressage,summer,Beijing,no medal
Denis Lynch,Ireland,2008,Capsaicin,Equestrian jumping,summer,Beijing,no medal
Andrei Mikhnevich,Belarus,2008,Clenbuterol,Athletics ,summer,Beijing,bronze
Tezdzhan Naimova,Bulgaria,2008,Tampering with doping control,Athletics,summer,Beijing,no medal
Rodrigo Pessoa,Brazil,2008,Nonivamide,Equestrian jumping,summer,Beijing,no medal
Igor Razoronov,Ukraine,2008,Nandrolone,Weightlifting ,summer,Beijing,no medal
Adam Seroczyński,Poland,2008,Clenbuterol,Canoeing ,summer,Beijing,no medal
Do Thi Ngan Thuong,Vietnam,2008,Furosemide,Gymnastics Artistic,summer,Beijing,no medal
Vanja Perisic,Croatia,2008,CERA,Athletics ,summer,Beijing,no medal
Rashid Ramzi,Bahrain,2008,CERA,Athletics ,summer,Beijing,gold
Davide Rebellin,Italy,2008,CERA,Cycling,summer,Beijing,silver
Stefan Schumacher,Germany,2008,CERA,Cycling,summer,Beijing,no medal
Athanasia Tsoumeleka,Greece,2008,CERA,Athletics,summer,Beijing,no medal
Yuliya Chermoshanskaya,Russia,2008,Stanozolol & Turinabol,Athletics ,summer,Beijing,gold
Tatyana Firova,Russia,2008,Turinabol & Metabolite ,Athletics ,summer,Beijing,silver
Anastasia Kapachinskaya,Russia,2008,Stanozolol & Turinabol,Athletics ,summer,Beijing,silver
Hripsime Khurshudyan,Armenia,2008,Stanozolol,Weightlifting ,summer,Beijing,no medal
Tigran Gevorg Martirosyan,Armenia,2008,Stanozolol & Turinabol,Weightlifting ,summer,Beijing,bronze
Samuel Adelebari Francis,Qatar,2008,Stanozolol,Athletics ,summer,Beijing,no medal
Nadezhda Evstyukhina,Russia,2008,Turinabol & EPO,Weightlifting ,summer,Beijing,bronze
Alexander Pogorelov,Russia,2008,Turinabol,Athletics Decathlon,summer,Beijing,no medal
Marina Shainova,Russia,2008,Stanozolol and Turinabol,Weightlifting,summer,Beijing,silver
Alexandru Dudoglo,Moldova,2008,Stanozolol,Weightlifting,summer,Beijing,no medal
Nurcan Taylan,Turkey,2008,Stanozolol,Weightlifting ,summer,Beijing,no medal
Yarelys Barrios,Cuba,2008,Acetazolamide,Athletics Discus Throw,summer,Beijing,silver
Intigam Zairov,Azerbaijan,2008,Turinabol,Weightlifting,summer,Beijing,no medal
Ivan Yushkov,Russia,2008,Stanozolol,Athletics ,summer,Beijing,no medal
Sibel Özkan,Turkey,2008,Stanozolol,Weightlifting ,summer,Beijing,silver
Ilya Ilyin,Kazakhstan,2008,Stanozolol,Weightlifting ,summer,Beijing,gold
Mariya Abakumova,Russia,2008,Turinabol,Athletics Javelin Throw,summer,Beijing,silver
Inga Abitova,Russia,2008,Turinabol,Athletics ,summer,Beijing,no medal
Denis Alexeev,Russia,2008,Turinabol,Athletics,summer,Beijing,no medal
Anna Chicherova,Russia,2008,Turinabol,Athletics,summer,Beijing,bronze
Sardar Hasanov,Azerbaijan,2008,Turinabol,Weightlifting ,summer,Beijing,no medal
Wilfredo Martínez,Cuba,2008,Acetazolamide,Athletics Long Jump,summer,Beijing,no medal
Josephine Nnkiruka Onyia,Spain,2008,Methylhexanamine,Athletics Hurdles,summer,Beijing,no medal
Soslan Tigiev,Uzbekistan,2008,Turinabol,Wrestling,summer,Beijing,silver
Ekaterina Volkova,Russia,2008,Turinabol,Athletics,summer,Beijing,bronze
Olha Korobka,Ukraine,2008,Turinabol,Weightlifting,summer,Beijing,silver
Nastassia Novikava,Belarus,2008,Turinabol,Weightlifting,summer,Beijing,bronze
Andrei Rybakou,Belarus,2008,Stanozolol & Turinabol,Weightlifting ,summer,Beijing,silver
Taimuraz Tigiyev,Kazakhstan,2008,Turinabol,Wrestling ,summer,Beijing,silver
Khadzhimurat Akkaev,Russia,2008,Turinabol,Weightlifting,summer,Beijing,bronze
Khasan Baroev,Russia,2008,Turinabol,Wrestling Greco-Roman 120 kg,summer,Beijing,silver
Nataliya Davydova,Ukraine,2008,Turinabol,Weightlifting ,summer,Beijing,bronze
Chrysopigi Devetzi,Greece,2008,Stanozolol,Athletics Triple Jump,summer,Beijing,bronze
Mariya Grabovetskaya,Kazakhstan,2008,Turinabol,Weightlifting ,summer,Beijing,bronze
Iryna Kulesha,Belarus,2008,Turinabol,Weightlifting ,summer,Beijing,no medal
Dmitry Lapikov,Russia,2008,Turinabol,Weightlifting ,summer,Beijing,bronze
Asset Mambetov,Kazakhstan,2008,Stanozolol,Wrestling Greco-Roman,summer,Beijing,bronze
Maya Maneza,Kazakhstan,2008,Stanozolol,Weightlifting,summer,Beijing,no medal
Irina Nekrassova,Kazakhstan,2008,Stanozolol,Weightlifting,summer,Beijing,silver
Vita Palamar,Ukraine,2008,Turinabol,Athletics High Jump,summer,Beijing,no medal
Nizami Pashayev,Azerbaijan,2008,Turinabol,Weightlifting ,summer,Beijing,no medal
Vitaliy Rahimov,Azerbaijan,2008,Turinabol,Wrestling Greco-Roman,summer,Beijing,silver
Vladimir Sedov,Kazakhstan,2008,Stanozolol,Weightlifting,summer,Beijing,no medal
Elena Slesarenko,Russia,2008,Turinabol,Athletics High Jump,summer,Beijing,no medal
Denys Yurchenko,Ukraine,2008,Turinabol,Athletics Pole Vault,summer,Beijing,bronze
Pavel Lyzhyn,Belarus,2008,Turinabol,Athletics Shot Put,summer,Beijing,no medal
Aksana Miankova,Belarus,2008,Turinabol,Athletics Hammer Throw,summer,Beijing,gold
